idproducto_onu;nombreproducto_onu;id_nivel3;nombre_nivel3;nombre_nivel2;nombre_nivel1
10101501;Gatos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101502;Perros;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101504;Visones;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101505;Ratas;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101506;Caballos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101507;Ovejas;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101508;Cabras;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101509;Asnos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101510;Ratones;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101511;Cerdos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101512;Conejos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101513;Cuyes (conejillos de india);10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101514;Primates;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101515;Armadillos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101516;Bovinos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101517;Camellos;10101500;Animales domésticos;Animales vivos;Artículos para plantas y animales
10101601;Pollos;10101600;Aves de corral;Animales vivos;Artículos para plantas y animales
10101602;Patos;10101600;Aves de corral;Animales vivos;Artículos para plantas y animales
10101603;Pavos;10101600;Aves de corral;Animales vivos;Artículos para plantas y animales
10101604;Gansos;10101600;Aves de corral;Animales vivos;Artículos para plantas y animales
10101605;Faisanes;10101600;Aves de corral;Animales vivos;Artículos para plantas y animales
10101701;Salmones;10101700;Peces;Animales vivos;Artículos para plantas y animales
10101702;Truchas;10101700;Peces;Animales vivos;Artículos para plantas y animales
10101703;Talapias;10101700;Peces;Animales vivos;Artículos para plantas y animales
10101704;Carpas;10101700;Peces;Animales vivos;Artículos para plantas y animales
10101705;Anguilas;10101700;Peces;Animales vivos;Artículos para plantas y animales
10101801;Camarones;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101802;Almejas;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101803;Mejillones;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101804;Ostras;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101805;Cangrejos;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101806;Orejas marinas;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101807;Pulpos;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101808;Calamares;10101800;Mariscos, moluscos y crustáceos acuáticos;Animales vivos;Artículos para plantas y animales
10101901;Mariposas;10101900;Insectos;Animales vivos;Artículos para plantas y animales
10101902;Escarabajos;10101900;Insectos;Animales vivos;Artículos para plantas y animales
10101903;Abejas;10101900;Insectos;Animales vivos;Artículos para plantas y animales
10101904;Gusanos de seda;10101900;Insectos;Animales vivos;Artículos para plantas y animales
10102001;Elefantes;10102000;Animales salvajes;Animales vivos;Artículos para plantas y animales
10102002;Zorros;10102000;Animales salvajes;Animales vivos;Artículos para plantas y animales
